Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,11,32.04,420,0.43
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,12,32.04,420,0.546
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,1,28.04,420,0.55
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,2,28.04,420,0.531
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,3,28.04,420,0.534
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,4,28.04,420,0.361
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,5,28.04,420,0.449
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,6,28.04,420,0.519
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,7,28.04,420,0.335
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,8,28.04,420,0.452
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,9,28.04,420,0.54
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,10,28.04,420,0.468
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,11,28.04,420,0.423
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,12,28.04,420,0.541
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,1,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,2,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,3,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,4,38.6,420,0.113
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,5,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,6,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,7,38.6,420,0.07
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,8,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,9,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,10,38.6,420,0.017
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,11,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,12,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,13,38.6,420,0
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,1,35.6,420,0.523
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,2,35.6,420,0.479
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,3,35.6,420,0.407
Global_Search_Caribbean,22220424,USA,25.022467,-80.439564,Lower Florida Keys,Caribbean,Porites astreoides,4,35.6,420,0.456
